order,month,work_key,doi,title,venue,states_pce,states_certified,states_area,states_t80,isos_protocol,pce_value
19,2026-08,10.1002/anie.3095986,10.1002/anie.3095986,Ga Doping Enables (110) Facet Control and Surface Passivation of SnO 2 for Efficient and Stable Inverted Perovskite Solar Cells,Angewandte Chemie International Edition,,,,,,
20,2026-07,10.1002/smtd.70860,10.1002/smtd.70860,All‐Vacuum Engineering of SnO 2 ‐Based Buried Interfaces for Scalable and Thermally Stable Perovskite Photovoltaics,Small Methods,,,,,,
21,2026-05,10.1002/sus2.70073,10.1002/sus2.70073,Renewable Energy‐Driven Green Electricity Supplement for Empowering Blue Economy,SusMat,,,,,,
22,2026-05,10.1088/2632-959x/ae6f36,10.1088/2632-959x/ae6f36,Effect of FABr over-stoichiometry on the morphology and optoelectronic properties of wide-bandgap FAPbBr 3 films,Nano Express,,,,,,
23,2026-07,10.1002/ente.70574,10.1002/ente.70574,Strain‐Engineered Fluoro‐Perovskites CsGeF 3 and CsSnF 3 for Efficient and Sustainable Solar Energy Conversion,Energy Technology,,,,,,
24,2026-04,10.1002/ente.202502597,10.1002/ente.202502597,Molecular Glass Interface Engineering Enables Highly Efficient and Stable Inverted Perovskite Solar Cells,Energy Technology,,,,,,
25,2026-05,10.1016/j.esci.2026.100601,10.1016/j.esci.2026.100601,Where photons should be regulated: Optically first charge-transport layers for bifacial perovskite photovoltaics,eScience,,,,,,
26,2026-04,10.1016/j.rineng.2026.110377,10.1016/j.rineng.2026.110377,ETL-free and HTL-free perovskite solar cell as the simplified power source for energy-frugal indoor IoTs,Results in Engineering,,,,,,
27,2026-08,10.1016/j.joule.2026.102646,10.1016/j.joule.2026.102646,Impact of silicon substrate topography on sequentially evaporated perovskite film growth,Joule,,,,,,
28,2026-08,10.1002/adfm.77856,10.1002/adfm.77856,Reconstruction of Hole‐Selective Perovskite Contact Enables Highly Efficient Two‐Step Perovskite Solar Cells via Improved Energetics,Advanced Functional Materials,,,,,,
29,2026-03,10.1038/s41467-026-69687-4,10.1038/s41467-026-69687-4,Moisture-responsive crystallization strategy for efficient CsPbI3 solar cells fabricated under high-humidity conditions,Nature Communications,,,,,,
30,2026-07,10.1002/adpr.70226,10.1002/adpr.70226,"Exploring Ruddlesden–Popper Perovskite Solar Cells Performance Using First‐Principles Calculations, Processing Parameters Simulation, and Machine Learning",Advanced Photonics Research,,,,,,
31,2026-03,10.1021/acsenergylett.5c03999,10.1021/acsenergylett.5c03999,Dual-Site Competitive Coordination Eliminates Residual DMSO for Thermally and Moisture-Stable Perovskite Solar Cells,ACS Energy Letters,,,,,,
32,2026-02,10.1038/s41467-026-69685-6,10.1038/s41467-026-69685-6,Regulating perovskite crystallization kinetics at laser scribe lines for efficient and stable perovskite modules,Nature Communications,,,,,,
33,2026-01,10.1038/s41467-025-68231-0,10.1038/s41467-025-68231-0,Thermotropic liquid-assisted interface management enables efficient and stable perovskite solar cells and modules,Nature Communications,,,,,,
34,2026-02,10.1002/adma.202521697,10.1002/adma.202521697,Stabilizing Ni 3+ ‐Rich NiO x /Perovskite Interface via Dual Coordination for Efficient and Durable Perovskite Photovoltaics,Advanced Materials,,,,,,
35,2026-01,10.1021/acs.jpclett.5c03817,10.1021/acs.jpclett.5c03817,"Anharmonicity-Driven Modulation of Carrier Lifetime and Mobility in BF 4 -Doped All-Inorganic CsPbX 3 (X = I, Br) Perovskites",The Journal of Physical Chemistry Letters,,,,,,
