work_key,doi,device_class,pce_champion,pce_certified,included_in_figure,exclusion_reason
10.5281/zenodo.18740264,10.5281/zenodo.18740264,single_junction,,,1,
10.5281/zenodo.18134891,10.5281/zenodo.18134891,single_junction,,,1,
10.48550/arxiv.2601.23191,10.48550/arxiv.2601.23191,single_junction,24.2,,0,lens=theory
10.48550/arxiv.2601.03737,10.48550/arxiv.2601.03737,single_junction,,,0,lens=theory
10.26434/chemrxiv-2026-bxv8r,10.26434/chemrxiv-2026-bxv8r,single_junction,,,1,
10.48550/arxiv.2601.16310,10.48550/arxiv.2601.16310,single_junction,,,0,lens=review
10.1002/aenm.202505854,10.1002/aenm.202505854,single_junction,22.53,21.95,1,
10.1002/anie.202516537,10.1002/anie.202516537,single_junction,26.41,,1,
10.1002/adma.202519267,10.1002/adma.202519267,single_junction,26.45,,0,lens=theory
10.1007/s40820-026-02089-9,10.1007/s40820-026-02089-9,single_junction,,,0,lens=review
10.1126/science.aea3339,10.1126/science.aea3339,single_junction,27.1,26.6,1,
10.1038/s41560-026-01993-z,10.1038/s41560-026-01993-z,single_junction,27.2,26.9,1,
10.1002/aenm.202506610,10.1002/aenm.202506610,single_junction,22.2,,1,
10.1021/acsami.5c20363,10.1021/acsami.5c20363,single_junction,20.2,,0,lens=theory
10.1021/acsenergylett.5c04127,10.1021/acsenergylett.5c04127,perovskite_silicon_tandem,32.73,32.46,1,
10.1002/anie.202525815,10.1002/anie.202525815,module,26.9,26.75,1,
10.1002/solr.202500840,10.1002/solr.202500840,single_junction,21.3,,1,
10.1002/smll.202512729,10.1002/smll.202512729,single_junction,24.79,,1,
10.1002/adma.202522942,10.1002/adma.202522942,all_perovskite_tandem,29.03,,1,
10.1002/aenm.202506288,10.1002/aenm.202506288,single_junction,,,1,
10.1002/adma.72622,10.1002/adma.72622,single_junction,26.9,26.5,1,
10.1007/s40820-026-02112-z,10.1007/s40820-026-02112-z,single_junction,,,0,lens=theory
10.1002/smll.202512151,10.1002/smll.202512151,single_junction,20.41,,1,
10.1002/adfm.202529457,10.1002/adfm.202529457,single_junction,25.5,,1,
10.1002/adfm.202529984,10.1002/adfm.202529984,all_perovskite_tandem,,,1,
10.1002/aenm.70755,10.1002/aenm.70755,all_perovskite_tandem,28.34,20.02,1,
10.1002/aenm.202503866,10.1002/aenm.202503866,single_junction,,,1,
10.1007/s40820-025-02058-8,10.1007/s40820-025-02058-8,single_junction,26.22,,1,
10.1002/adma.202520220,10.1002/adma.202520220,single_junction,,,0,lens=theory
10.1002/anie.202523799,10.1002/anie.202523799,single_junction,25.79,,1,
10.1002/adfm.74503,10.1002/adfm.74503,single_junction,23.3,,1,
10.1002/adfm.202532066,10.1002/adfm.202532066,single_junction,21.13,,1,
10.1002/adma.202522508,10.1002/adma.202522508,single_junction,26.5,26.22,1,
10.1002/adma.202520776,10.1002/adma.202520776,single_junction,24.3,,1,
10.1002/adma.202519339,10.1002/adma.202519339,single_junction,28.01,25.94,1,
10.1002/smll.202511627,10.1002/smll.202511627,single_junction,22.21,,1,
10.1021/acsaem.5c03347,10.1021/acsaem.5c03347,single_junction,,,1,
10.1002/aenm.202503291,10.1002/aenm.202503291,single_junction,23.45,,1,
10.1038/s41467-026-69198-2,10.1038/s41467-026-69198-2,single_junction,26.18,26.23,1,
10.1038/s41563-026-02494-w,10.1038/s41563-026-02494-w,single_junction,19.3,18.35,1,
10.1007/s40820-026-02098-8,10.1007/s40820-026-02098-8,single_junction,26.13,,1,
10.1002/adma.202521129,10.1002/adma.202521129,perovskite_silicon_tandem,32.19,23.48,1,
10.17265/2161-6213/2026.1-3.002,10.17265/2161-6213/2026.1-3.002,single_junction,,,0,lens=theory
10.1038/s41467-026-69264-9,10.1038/s41467-026-69264-9,module,22.03,,1,
10.1186/s40580-026-00541-5,10.1186/s40580-026-00541-5,single_junction,16.88,,1,
10.1021/acsaem.5c04086,10.1021/acsaem.5c04086,single_junction,6.92,,1,
10.1021/acs.jpclett.5c04038,10.1021/acs.jpclett.5c04038,single_junction,25.72,,1,
10.1021/acsaem.5c03966,10.1021/acsaem.5c03966,single_junction,14.81,,1,
10.1002/adfm.202524302,10.1002/adfm.202524302,single_junction,25.82,,1,
10.1002/pip.70076,10.1002/pip.70076,single_junction,25.77,,0,lens=theory
10.1002/aenm.202506091,10.1002/aenm.202506091,single_junction,,,0,lens=review
10.1002/aenm.202504928,10.1002/aenm.202504928,module,22.3,,1,
10.1016/j.egyr.2026.109131,10.1016/j.egyr.2026.109131,single_junction,32.39,,0,lens=theory
10.1002/pip.70075,10.1002/pip.70075,single_junction,,,1,
10.1002/adma.202518643,10.1002/adma.202518643,single_junction,,,0,lens=theory
10.1002/adma.202520433,10.1002/adma.202520433,single_junction,,,1,
10.1021/acs.jpclett.5c03830,10.1021/acs.jpclett.5c03830,single_junction,24.9,,1,
10.1002/smll.202514211,10.1002/smll.202514211,single_junction,25.02,,1,
10.1021/acs.jpclett.6c00022,10.1021/acs.jpclett.6c00022,single_junction,19.35,,1,
10.1002/adfm.74636,10.1002/adfm.74636,single_junction,,,1,
10.1021/acsenergylett.6c00094,10.1021/acsenergylett.6c00094,single_junction,,,1,
10.1038/s41467-026-69391-3,10.1038/s41467-026-69391-3,single_junction,26.62,26.07,1,
10.1021/acsenergylett.5c04203,10.1021/acsenergylett.5c04203,all_perovskite_tandem,,24.5,1,
10.1021/acsenergylett.5c04010,10.1021/acsenergylett.5c04010,perovskite_silicon_tandem,,,1,
10.1021/accountsmr.5c00234,10.1021/accountsmr.5c00234,single_junction,,,0,lens=review
10.1021/jacs.5c18303,10.1021/jacs.5c18303,single_junction,,26.4,1,
10.1002/solr.202500911,10.1002/solr.202500911,all_perovskite_tandem,,,0,lens=review
10.1016/j.solener.2026.114393,10.1016/j.solener.2026.114393,single_junction,24.64,,1,
10.1002/adfm.74659,10.1002/adfm.74659,all_perovskite_tandem,28.58,,1,
10.1002/smll.72953,10.1002/smll.72953,single_junction,25.54,,1,
10.1021/acs.jpclett.5c03795,10.1021/acs.jpclett.5c03795,single_junction,,,0,lens=theory
10.1002/adfm.202526679,10.1002/adfm.202526679,single_junction,26,,1,
10.1002/adfm.202527797,10.1002/adfm.202527797,single_junction,,,0,lens=theory
10.1038/s41557-025-02034-0,10.1038/s41557-025-02034-0,single_junction,,,1,
10.1038/s41467-025-68236-9,10.1038/s41467-025-68236-9,single_junction,25,,1,
10.1038/s41467-026-69685-6,10.1038/s41467-026-69685-6,module,24.7,23.55,0,lens=review
10.1002/cnl2.70126,10.1002/cnl2.70126,all_perovskite_tandem,,,1,
10.1021/acs.accounts.5c00858,10.1021/acs.accounts.5c00858,single_junction,,,1,
10.1021/jacs.5c21300,10.1021/jacs.5c21300,single_junction,,,0,lens=theory
10.26599/nre.2026.9120219,10.26599/nre.2026.9120219,single_junction,,,1,
10.1021/acsaem.5c03794,10.1021/acsaem.5c03794,single_junction,8.0,,1,
10.1021/acsenergylett.5c03788,10.1021/acsenergylett.5c03788,single_junction,,,1,
10.1021/acsami.5c24295,10.1021/acsami.5c24295,single_junction,11.0,,0,lens=theory
10.1126/sciadv.aea7629,10.1126/sciadv.aea7629,single_junction,26.3,25.8,1,
10.1016/j.solmat.2026.114223,10.1016/j.solmat.2026.114223,perovskite_silicon_tandem,22.1,,1,
10.1021/acsnano.5c18423,10.1021/acsnano.5c18423,single_junction,22.51,,1,
10.1021/acsnano.5c21709,10.1021/acsnano.5c21709,module,25.61,25.11,1,
10.1002/adfm.202532100,10.1002/adfm.202532100,single_junction,25.24,,1,
10.1016/j.nanoen.2026.111831,10.1016/j.nanoen.2026.111831,single_junction,,,1,
10.1021/acsenergylett.5c03310,10.1021/acsenergylett.5c03310,single_junction,,,0,lens=review
10.1002/solr.202500859,10.1002/solr.202500859,single_junction,15.52,,1,
10.1021/acsami.5c23217,10.1021/acsami.5c23217,single_junction,21.22,,0,lens=theory
