work_key,doi,device_class,pce_champion,pce_certified,included_in_figure,exclusion_reason
10.1016/j.jcis.2026.140871,10.1016/j.jcis.2026.140871,single_junction,,,1,
10.1038/s43246-026-01222-w,10.1038/s43246-026-01222-w,single_junction,,,0,lens=review
10.1021/acsami.6c01472,10.1021/acsami.6c01472,single_junction,19.9,,1,
10.1021/acs.jpclett.6c01903,10.1021/acs.jpclett.6c01903,single_junction,,,1,
10.1016/j.chphi.2026.101092,10.1016/j.chphi.2026.101092,single_junction,12.0,,0,lens=theory
10.1002/eem2.70453,10.1002/eem2.70453,all_perovskite_tandem,29.08,,1,
10.1016/j.mtsust.2026.101405,10.1016/j.mtsust.2026.101405,single_junction,,,0,lens=theory
10.1016/j.solener.2026.114780,10.1016/j.solener.2026.114780,single_junction,,,0,lens=review
10.1021/acsami.6c07582,10.1021/acsami.6c07582,perovskite_silicon_tandem,28.4,,1,
10.3390/nano16130795,10.3390/nano16130795,single_junction,15.44,,1,
10.1021/acsami.6c01787,10.1021/acsami.6c01787,single_junction,23.16,,1,
10.1038/s44172-026-00695-4,10.1038/s44172-026-00695-4,single_junction,,,1,
10.1007/s40243-026-00382-6,10.1007/s40243-026-00382-6,single_junction,29.41,,0,lens=theory
10.1002/smll.202514972,10.1002/smll.202514972,single_junction,,,1,
10.1021/acsami.6c03041,10.1021/acsami.6c03041,single_junction,,,1,
10.1016/j.rineng.2026.111690,10.1016/j.rineng.2026.111690,single_junction,19.93,,1,
10.3390/su18115760,10.3390/su18115760,perovskite_silicon_tandem,,,1,
10.3390/en19112684,10.3390/en19112684,single_junction,,,0,lens=theory
10.1080/01430750.2026.2677012,10.1080/01430750.2026.2677012,module,,,1,
10.48550/arxiv.2606.12083,10.48550/arxiv.2606.12083,single_junction,28.85,,0,lens=theory
10.48550/arxiv.2606.27592,10.48550/arxiv.2606.27592,single_junction,,,1,
10.26434/chemrxiv.15004455/v1,10.26434/chemrxiv.15004455/v1,single_junction,,,1,
10.48550/arxiv.2606.13114,10.48550/arxiv.2606.13114,single_junction,,,0,lens=theory
10.22541/authorea.15004927/v1,10.22541/authorea.15004927/v1,single_junction,,,0,lens=review
10.5281/zenodo.20611101,10.5281/zenodo.20611101,single_junction,,,1,
10.5281/zenodo.20611100,10.5281/zenodo.20611100,single_junction,,,1,
10.26434/chemrxiv.15004204/v1,10.26434/chemrxiv.15004204/v1,single_junction,,,1,
10.48550/arxiv.2606.21441,10.48550/arxiv.2606.21441,single_junction,,,0,lens=theory
10.48550/arxiv.2606.11928,10.48550/arxiv.2606.11928,single_junction,,,1,
10.48550/arxiv.2606.09147,10.48550/arxiv.2606.09147,single_junction,,,0,lens=review
10.48550/arxiv.2606.20275,10.48550/arxiv.2606.20275,single_junction,,,1,
10.48550/arxiv.2606.22104,10.48550/arxiv.2606.22104,single_junction,,,0,lens=theory
10.5281/zenodo.21074811,10.5281/zenodo.21074811,single_junction,,,1,
10.5281/zenodo.21074810,10.5281/zenodo.21074810,single_junction,,,1,
10.5281/zenodo.21879780,10.5281/zenodo.21879780,single_junction,,,1,
