work_key,doi,title,venue,publication_date,date_precision,source_month,type
10.1039/d5tc02813b,10.1039/d5tc02813b,Multifunctional interface modification to enhance the performance of perovskite solar cells,Journal of Materials Chemistry C,2025-01-01,year,,article
10.1039/d5ta03920g,10.1039/d5ta03920g,Enhancing inverted perovskite solar cell performance via buried modification for improved interface and stability,Journal of Materials Chemistry A,2025-01-01,year,,article
10.1039/d5ra05366h,10.1039/d5ra05366h,Performance evaluation of Eu 2 NiMnO 6 -based lead-free perovskite solar cells: a SCAPS-1D study,RSC Advances,2025-01-01,year,,article
10.1039/d5el00131e,10.1039/d5el00131e,Comparative analysis of recycling strategies for high-yield fabrication of perovskite solar cells: resolving residual impurity challenges via targeted post-treatment,EES solar.,2025-01-01,year,,article
10.1039/d5cp01454a,10.1039/d5cp01454a,A comparative study on hydroxyl and ether functionalized ionic liquid additives for defect passivation and stability in perovskite solar cells,Physical Chemistry Chemical Physics,2025-01-01,year,,article
10.1039/d5ta03780h,10.1039/d5ta03780h,Interface modification of the electron transport layer via a dry-processed conformal MgSnO x interlayer in inorganic CsPbI 3 perovskite solar cells for enhanced performance and stability,Journal of Materials Chemistry A,2025-01-01,year,,article
10.14744/sigma.2025.00172,10.14744/sigma.2025.00172,SCAPS-1D performance analysis of MAPbI3 and MASnI3 based perovskite solar cells’,Sigma Journal of Engineering and Natural Sciences – Sigma Mühendislik ve Fen Bilimleri Dergisi,2025-01-01,year,,article
10.1039/d5cc05230k,10.1039/d5cc05230k,Boosting the efficiency of Ruddlesden–Popper tin perovskite solar cells through ethylenediamine dihydroiodide-mediated phase modulation,Chemical Communications,2025-01-01,year,,article
10.1039/d5tc03297k,10.1039/d5tc03297k,Tin–lead perovskite solar cells featuring buffer layer structures: a combined theoretical and experimental study,Journal of Materials Chemistry C,2025-01-01,year,,article
10.1039/d5cc05381a,10.1039/d5cc05381a,Phase-selective redissolution enabling phase-pure 2D/3D perovskite solar cells,Chemical Communications,2025-01-01,year,,article
10.1039/d5dt01789k,10.1039/d5dt01789k,Dynamic self-regulating interfaces enable crystallization control and lead sequestration in perovskite photovoltaics,Dalton Transactions,2025-01-01,year,,article
10.1039/d5se00995b,10.1039/d5se00995b,"Facile chemical spray deposition of Ag-nanowire films: tailoring their structural, optical, and electrical properties for application as TCEs",Sustainable Energy & Fuels,2025-01-01,year,,article
10.1039/d5ta06343d,10.1039/d5ta06343d,Dehydration-resistant amino acid additives for stable and efficient perovskite precursor solutions and solar cells,Journal of Materials Chemistry A,2025-01-01,year,,article
10.1039/d5ta05420f,10.1039/d5ta05420f,Ball milling route for stable and high-performance FAPbI 3 perovskite single crystals,Journal of Materials Chemistry A,2025-01-01,year,,article
10.1039/d5ra05824d,10.1039/d5ra05824d,"Optimizing hole transport efficiency in perovskite solar cells by structural modeling of 1,4-dihydropyrrolo[3,2- b ]pyrroles with various donors: a DFT approach",RSC Advances,2025-01-01,year,,article
10.2298/pac2504359k,10.2298/pac2504359k,"First-principles investigation of structure, electronic and optical properties of newly synthesized double perovskite Nd2FeTiO6 for optoelectronic applications",Processing and Application of Ceramics,2025-01-01,year,,article
10.37188/cjl.20250142,10.37188/cjl.20250142,真空热蒸发LiF钝化策略制备高效稳定的钙钛矿太阳能电池,Chinese Journal of Luminescence,2025-01-01,year,,article
10.1021/acs.energyfuels.4c03898,10.1021/acs.energyfuels.4c03898,Polymer-Enhanced Active Layer Crystallization in Low-Temperature Carbon-Based Perovskite Solar Cells,Energy & Fuels,2025-01-01,year,,article
10.1039/d4el00018h,10.1039/d4el00018h,High coordination-solvent bathing for efficient crystallization of MA-free triple halide perovskite solar cells,EES solar.,2025-01-01,year,,article
10.1039/d5cp02196k,10.1039/d5cp02196k,Impact of Ce doping on the optoelectronic and structural properties of a CsPbIBr 2 perovskite solar cell,Physical Chemistry Chemical Physics,2025-01-01,year,,article
10.1039/d4ta07497a,10.1039/d4ta07497a,Soy protein enables stable perovskite solar cells by defect passivation and ion migration suppression,Journal of Materials Chemistry A,2025-01-01,year,,article
10.1039/d4qm00917g,10.1039/d4qm00917g,Improving stability and efficiency of PTAA-based inverted perovskite solar cells through a guest strategy,Materials Chemistry Frontiers,2025-01-01,year,,article
10.1039/d4dt03120b,10.1039/d4dt03120b,Interfacial seed-assisted FAPbI 3 crystallization and phase stabilization enhance the performance of all-air-processed perovskite solar cells,Dalton Transactions,2025-01-01,year,,article
10.1039/d4qi03269a,10.1039/d4qi03269a,Multidentate chelation via pyridine-based molecules for high-efficiency perovskite solar cells,Inorganic Chemistry Frontiers,2025-01-01,year,,article
10.1155/amse/3361562,10.1155/amse/3361562,"Synergistic Effects of NiO, Fe 3 O 4 , and WO 3 Bilayers With Spiro‐OMeTAD in CsFAMA Perovskite Solar Cells",Advances in Materials Science and Engineering,2025-01-01,year,,article
10.1039/d4se01608d,10.1039/d4se01608d,Solar H 2 production by a perovskite/silicon tandem cell using urea oxidation,Sustainable Energy & Fuels,2025-01-01,year,,article
10.1039/d5dt00652j,10.1039/d5dt00652j,Surface reinforcement of perovskite films with heteroatom-modulated carbon nanosheets for heat-resistant solar cells,Dalton Transactions,2025-01-01,year,,article
10.1039/d5nj00587f,10.1039/d5nj00587f,Novel asphaltene-TiO 2 electron transport layers for high-performance perovskite solar cells: synthesis and characterization,New Journal of Chemistry,2025-01-01,year,,article
10.1039/d5se00069f,10.1039/d5se00069f,Ammonium formate-engineered MA-free perovskite inks for solar cells and optoelectronic devices,Sustainable Energy & Fuels,2025-01-01,year,,article
10.1039/d5ta04509f,10.1039/d5ta04509f,Singlet diradicaloids as n-type passivating interlayers for CsPbI 3 perovskite solar cells,Journal of Materials Chemistry A,2025-01-01,year,,article
10.1007/s10854-024-14116-9,10.1007/s10854-024-14116-9,2D Ruddlesden-Popper perovskite interface engineering for efficient perovskite solar cells with exceptional stability,Journal of Materials Science Materials in Electronics,2025-01-01,year,,article
10.1039/d4su00641k,10.1039/d4su00641k,Spray-coating polystyrene on perovskite solar cells increases thermal stability and moisture tolerance,RSC Sustainability,2025-01-01,year,,article
10.1039/d5ta01277e,10.1039/d5ta01277e,Improving the ecological index in the solution processing of hybrid perovskites,Journal of Materials Chemistry A,2025-01-01,year,,article
10.1155/er/7589178,10.1155/er/7589178,Enhanced Structural and Chemical Stability of New Inorganic Halide Perovskite Solar Cell Structures via Nickel Doping and Silicon Dioxide Encapsulation,International Journal of Energy Research,2025-01-01,year,,article
10.1002/adsu.202570013,10.1002/adsu.202570013,Phenothiazine‐Modified PTAA Hole Transporting Materials for Flexible Perovskite Solar Cells: A Trade‐Off Between Performance and Sustainability (Adv. Sustainable Syst. 1/2025),Advanced Sustainable Systems,2025-01-01,year,,article
10.1140/epjb/s10051-025-00871-z,10.1140/epjb/s10051-025-00871-z,Green anti-solvent modulation of the growth of binary FAXMA1-X tin-based perovskite and their photovoltaic properties,The European Physical Journal B,2025-01-01,year,,article
10.1039/d4tc04415k,10.1039/d4tc04415k,Natural binders for synchronous management of iodine species adsorption and redox toward sustainable carbon-based perovskite solar cells,Journal of Materials Chemistry C,2025-01-01,year,,article
10.1039/d4tc05164e,10.1039/d4tc05164e,Regulating the crystallization of tin oxide nanoparticles by an environmentally friendly poly-aluminum chloride additive for a high-quality electron transport film in perovskite solar cells,Journal of Materials Chemistry C,2025-01-01,year,,article
10.1109/access.2025.3549606,10.1109/access.2025.3549606,Exploring the Potential of Tungsten Disulfide Interlayer for Perovskite Solar Cell Performance Enhancement Through Numerical Approach,IEEE Access,2025-01-01,year,,article
10.71267/mencom.7632,10.71267/mencom.7632,Impact of fluorination on optoelectronic properties of thiophene-benzothiadiazole-based hole-transport polymers for perovskite solar cells,Mendeleev Communications,2025-01-01,year,,article
10.1039/d5dt00352k,10.1039/d5dt00352k,Rationally tailored passivator with multisite surface-anchors for suppressing ion migration toward air-stable perovskite solar cells,Dalton Transactions,2025-01-01,year,,article
10.1039/d5ta01963j,10.1039/d5ta01963j,Alkali metal fluoride etching for efficient and stable planar TiO 2 perovskite solar cells,Journal of Materials Chemistry A,2025-01-01,year,,article
10.1039/d5cp00828j,10.1039/d5cp00828j,Influence of imide side-chain functionality in the doping characteristics of naphthalenediimide derivatives as electron transport materials,Physical Chemistry Chemical Physics,2025-01-01,year,,article
10.71267/mencom.7698,10.71267/mencom.7698,Towards stable wide-bandgap perovskite absorbers: controlling light-induced halide phase segregation in CsPbI2Br through partial lead substitution,Mendeleev Communications,2025-01-01,year,,article
10.1039/d5el00070j,10.1039/d5el00070j,Critical role of oxide anchoring groups in organic electron transport layers for perovskite solar cell stability,EES solar.,2025-01-01,year,,article
10.1039/d5ta04247j,10.1039/d5ta04247j,A customized fullerene based metal oxide electron transport layer surface activity inhibitor to enhance the operational stability of perovskite solar cells,Journal of Materials Chemistry A,2025-01-01,year,,article
10.1039/d5dt00765h,10.1039/d5dt00765h,Multi -functional zinc cobaltite materials for perovskite solar cell and hydrogen evolution reaction applications,Dalton Transactions,2025-01-01,year,,article
10.1039/d5el00071h,10.1039/d5el00071h,Fluorinated fullerene interlayers for tin halide perovskite solar cells with enhanced operational air stability and minimized voltage losses,EES solar.,2025-01-01,year,,article
10.1016/j.nxsust.2025.100169,10.1016/j.nxsust.2025.100169,"Comprehensive first-principles study of structural, electronic, optical, and elastic properties of FrBCl3 (B = Mg & Ba) cubic perovskites",Next Sustainability,2025-01-01,year,,article
10.2139/ssrn.5349238,10.2139/ssrn.5349238,Design and Implementation of a Standalone 3.5 kVA Solar PV System,SSRN Electronic Journal,2025-01-01,year,,preprint
10.2139/ssrn.5138601,10.2139/ssrn.5138601,"Dft Exploration of Novel Direct Band Gap Semiconducting Halide Double Perovskites, A2agircl6 (a = Cs, Rb, K), for Solar Cells Application",SSRN Electronic Journal,2025-01-01,year,,preprint
10.2139/ssrn.5116392,10.2139/ssrn.5116392,Quantum Circuit Learning for Predicting Nature of Band Gap of Perovskite Oxides,SSRN Electronic Journal,2025-01-01,year,,preprint
10.2139/ssrn.5137887,10.2139/ssrn.5137887,The Promise of Lead-Free Perovskites: Can they Replace Toxic Alternatives in Solar Cells and Lead the Future?,SSRN Electronic Journal,2025-01-01,year,,preprint
10.2139/ssrn.5212789,10.2139/ssrn.5212789,"A First-Principles Study on Structural, Electronic, Optical and Thermal Characteristics of A3bf3 (a = Mg, Ca, Sr, Ba; B = N, Bi) Perovskites Towards Multifunctional Applications",SSRN Electronic Journal,2025-01-01,year,,preprint
10.2139/ssrn.5192349,10.2139/ssrn.5192349,ADVANCES IN HIGH-EFFICIENCY SOLAR PHOTOVOLTAIC MATERIALS: A COMPREHENSIVE REVIEW OF PEROVSKITE AND TANDEM CELL TECHNOLOGIES,SSRN Electronic Journal,2025-01-01,year,,preprint
10.2139/ssrn.5215085,10.2139/ssrn.5215085,Machine Learning-enhanced Copper (I) Thiocyanate-based Perovskite-silicon Tandem Solar Cells: Optimization Strategies for Enhanced Effi ciency and Stability,SSRN Electronic Journal,2025-01-01,year,,preprint
10.2139/ssrn.5113190,10.2139/ssrn.5113190,Insights to Adhesion Evaluation in Perovskite Photovoltaics,SSRN Electronic Journal,2025-01-01,year,,preprint
10.2139/ssrn.5075253,10.2139/ssrn.5075253,A comprehensive investigation involving numerous HTL and ETL layers to design and simulate high-efficiency Ca 3 AsI 3 -based perovskite solar cells,SSRN Electronic Journal,2025-01-01,year,,preprint
10.2139/ssrn.5209294,10.2139/ssrn.5209294,Scaps-1d Modeling and Optimization of Rb2snbr6-Based Lead-Free Perovskite Solar Cells,SSRN Electronic Journal,2025-01-01,year,,preprint
10.2139/ssrn.5236266,10.2139/ssrn.5236266,Boosting the Efficiency of Ch3nh3sni3 Perovskite Solar Cells by 31% Utilizing Sno2 as Electron Transport Layer and Niox as Hole Transport Layer,SSRN Electronic Journal,2025-01-01,year,,preprint
10.2139/ssrn.5345920,10.2139/ssrn.5345920,"Exploring the Optoelectronic, Thermoelectric, and Photocatalytic Properties of X2laaui6 (X = K, Rb, Cs) Double Perovskites Via First-Principles Calculations for Renewable Energy Applications",SSRN Electronic Journal,2025-01-01,year,,preprint
10.2139/ssrn.5096900,10.2139/ssrn.5096900,First-Principles Study of La and Mg Doped/Co-Doped Tio2 for Tailoring Trap States in the Electron Transport Layer of Perovskite Solar Cells,SSRN Electronic Journal,2025-01-01,year,,preprint
10.2139/ssrn.5106825,10.2139/ssrn.5106825,"Materials, Stability, and Environmental Aspects of Perovskite Solar Cell: A Topical Review",SSRN Electronic Journal,2025-01-01,year,,preprint
10.2139/ssrn.5111212,10.2139/ssrn.5111212,Regulating Perovskite/Pcbm Interface for Highly Efficient and Stable Inverted Perovskite Solar Cells,SSRN Electronic Journal,2025-01-01,year,,preprint
10.2139/ssrn.5120463,10.2139/ssrn.5120463,Grain‐Boundary Passivation by Cation Reaction Minimizes Voc-Deficit of 1.8 Ev Perovskites for Efficient All-Perovskite Tandem Solar Cells,SSRN Electronic Journal,2025-01-01,year,,preprint
10.2139/ssrn.5194063,10.2139/ssrn.5194063,Optimisation of Tin Oxide (Sno2) as the Electron Transport Layer Improves the Efficiency of Perovskite Solar Cells Using by Scaps-1d Simulation,SSRN Electronic Journal,2025-01-01,year,,preprint
10.2139/ssrn.5211836,10.2139/ssrn.5211836,"Comprehensive Study of the Energetics, Thermal, Electronic, Optical, Mechanical, Magnetic, and Thermoelectric Characteristics of Halide Double Perovskites X2nacrcl6 (X = K, Rb) Using First-Principles Approach",SSRN Electronic Journal,2025-01-01,year,,preprint
10.2139/ssrn.5201943,10.2139/ssrn.5201943,Numerical Simulation and Optimization of Highly Efficient Inorganic Lead-Free Perovskite Solar Cells Using SCAPS-1D,SSRN Electronic Journal,2025-01-01,year,,preprint
10.2139/ssrn.5214360,10.2139/ssrn.5214360,Systematic Study of Cesium- and Chlorine-Doped Mapbi3 Perovskites for Efficient and Stable Photovoltaic Devices,SSRN Electronic Journal,2025-01-01,year,,preprint
10.2139/ssrn.5229060,10.2139/ssrn.5229060,"Bandgap Engineering, Device Optimization and Performance Analysis of a Perovskite Solar Cell Using Sr-Doped La2nimno6 as an Absorber Layer: A Promising Material for Next-Generation Perovskite Solar Cells",SSRN Electronic Journal,2025-01-01,year,,preprint
10.2139/ssrn.5247058,10.2139/ssrn.5247058,Machine Learning-Assisted Optimization of Cspbi₃-Based All-Inorganic Perovskite Solar Cells: A Combined Scaps-1d and Xgboost Approach,SSRN Electronic Journal,2025-01-01,year,,preprint
10.2139/ssrn.5286492,10.2139/ssrn.5286492,Sno2 Based Colloid-Spray Processed Electron Transport Layer for High Performance and Stable Perovskite Solar Cells,SSRN Electronic Journal,2025-01-01,year,,preprint
10.2139/ssrn.5293540,10.2139/ssrn.5293540,Monolayer Ba2tio4 and Sr2tio4 Perovskenes: A First-Principles Study,SSRN Electronic Journal,2025-01-01,year,,preprint
10.2139/ssrn.5294201,10.2139/ssrn.5294201,Synergistic Effect of Pc71bm and F4tcnq as Multi-Functional Passivation Layer for High-Efficiency Perovskite Solar Cells with Superior Stability,SSRN Electronic Journal,2025-01-01,year,,preprint
10.2139/ssrn.5237693,10.2139/ssrn.5237693,"A Comprehensive Systematic Literature Review on Perovskite Solar Cells: Advancements, Efficiency Optimization, and Commercialization Potential for Next-Generation Photovoltaics",SSRN Electronic Journal,2025-01-01,year,,preprint
10.2139/ssrn.5317050,10.2139/ssrn.5317050,Enhancing the Optoelectronic Properties and Performance of Lead-Based Quasi-Two-Dimensional Ruddlesden–Popper Perovskites Through Partial Substitution of Lead with Cadmium for Solar Cells,SSRN Electronic Journal,2025-01-01,year,,preprint
10.2139/ssrn.5340150,10.2139/ssrn.5340150,Boosting Perovskite Solar Cell Stability: Dual Protection with Ultrathin Plasma Polymer Passivation Layers,SSRN Electronic Journal,2025-01-01,year,,preprint
10.2139/ssrn.5363484,10.2139/ssrn.5363484,"Semi-Transparent Solar Cells for Photovoltaic Windows: A Review of Materials, Performance Optimization, Applications",SSRN Electronic Journal,2025-01-01,year,,preprint
10.2139/ssrn.5440483,10.2139/ssrn.5440483,Flexible Perovskite Solar Modules Fabricated Using Monolithic Laser Scribing with a Nanosecond Pulsed Laser,SSRN Electronic Journal,2025-01-01,year,,preprint
10.2139/ssrn.5718603,10.2139/ssrn.5718603,Device Simulation of BaZrSe3-based Chalcogenide Perovskite Solar Cells with Back-Surface Field,SSRN Electronic Journal,2025-01-01,year,,preprint
10.2139/ssrn.5080024,10.2139/ssrn.5080024,Enhanced Stability and Optical Performance of Mapbi₃ Perovskite Films Through B4pbf₄ Ionic Liquid Integration: A Route to Durable Photovoltaics,SSRN Electronic Journal,2025-01-01,year,,preprint
10.2139/ssrn.5081025,10.2139/ssrn.5081025,Amorphous Uio-66-Nh2 for Next-Generation Interface Engineering in Perovskite Solar Cells,SSRN Electronic Journal,2025-01-01,year,,preprint
10.2139/ssrn.5084017,10.2139/ssrn.5084017,Difunctional Organic Cation Doping Induced Crystallization Dynamic Modulation and Residual Straincompensation for Efficient Perovskite Solar Cells,SSRN Electronic Journal,2025-01-01,year,,preprint
10.2139/ssrn.5084673,10.2139/ssrn.5084673,Structural Optimization of Semitransparent Power-Generating Window Glass Doped with Core-Shell Nanoparticles,SSRN Electronic Journal,2025-01-01,year,,preprint
10.2139/ssrn.5084414,10.2139/ssrn.5084414,Engineering Pedot Inks for Scalable Inkjet Printing: A Pathway to Efficient Perovskite Solar Cells,SSRN Electronic Journal,2025-01-01,year,,preprint
10.2139/ssrn.5085646,10.2139/ssrn.5085646,Enhanced Mobility of Electrons Via the Peripheral and Spacer Moieties into Perylene Diimide-Based Compounds Lead to Promising Photovoltaic Properties: Perovskite Solar Cells,SSRN Electronic Journal,2025-01-01,year,,preprint
10.2139/ssrn.5070883,10.2139/ssrn.5070883,Theoretical Investigation of the Role of Halide Alloys in the Optoelectronic and Stability Properties of Perovsites: The Example of Cs0.25MA0.25 FA0.50Pb(X ′ X X 1 – X )3,SSRN Electronic Journal,2025-01-01,year,,preprint
10.2139/ssrn.5071861,10.2139/ssrn.5071861,Computational Exploration of Band Edge Alignment and Charge Transport Feasibility of Technetium Chalcogenides in Methylammonium Lead Halide -Based Perovskite Solar Cells,SSRN Electronic Journal,2025-01-01,year,,preprint
10.2139/ssrn.5085478,10.2139/ssrn.5085478,Enhanced Efficiency in Commercial Carbon-Based Perovskite Solar Cells: Utilizing Light-Trapping Er/Yb-Doped Tio2 Nanocones as Electron Transport Layer,SSRN Electronic Journal,2025-01-01,year,,preprint
10.2139/ssrn.5085472,10.2139/ssrn.5085472,In Situ Nbo X as an Efficient Interfacial Layer on Sno2 Electron-Transport Layer for High‐Performance Flexible Perovskite Solar Cells,SSRN Electronic Journal,2025-01-01,year,,preprint
10.2139/ssrn.5071859,10.2139/ssrn.5071859,Self-Assembled Monolayers for Improved Performance In Flexible P-I-N Perovskite Solar Cells,SSRN Electronic Journal,2025-01-01,year,,preprint
10.2139/ssrn.5087456,10.2139/ssrn.5087456,Stable 25 % Efficiency Inorganic Perovskite/Organic Tandem Solar Cells Enabled by Methoxy-Free D-a-D'-a-D Interconnecting Layer,SSRN Electronic Journal,2025-01-01,year,,preprint
10.2139/ssrn.5090089,10.2139/ssrn.5090089,Comparative Performance Simulation Study of Germanium-Based Perovskite Solar Cells Using Scaps-1d,SSRN Electronic Journal,2025-01-01,year,,preprint
10.2139/ssrn.5094152,10.2139/ssrn.5094152,Seed Crystal Layer-Assisted Growth of Cspbbr3 Perovskite Film Via Electro-Spray Deposition for Sensitive Direct X-Ray Detection,SSRN Electronic Journal,2025-01-01,year,,preprint
10.2139/ssrn.5096304,10.2139/ssrn.5096304,Enhanced the Efficiency and Current Density by Structural Modifications and Conduction Band Shifting in Lead-Based Mixed Halide Perovskite Solar Cells,SSRN Electronic Journal,2025-01-01,year,,preprint
10.2139/ssrn.5097725,10.2139/ssrn.5097725,Unveiling Niox/Perovskite Interfaces: Charge Transport and Device Performance in Perovskite Solar Cells,SSRN Electronic Journal,2025-01-01,year,,preprint
10.2139/ssrn.5096604,10.2139/ssrn.5096604,Blue Light Excitation at Room Temperature in Lead-Free Perovskite Cs2ag0.6na0.4in0.8bi0.2cl6 for Optoelectronic Applications Through Enhanced Synergistic Energy Transfer with Yb-Doping,SSRN Electronic Journal,2025-01-01,year,,preprint
10.2139/ssrn.5076495,10.2139/ssrn.5076495,"High Humidity Environment Processed Stable Perovskite Solar Cells Using Pyrrolo[3,4-C]Pyrrole-1,4-Dione Dopant-Free Polymer as Hole Transporting Material",SSRN Electronic Journal,2025-01-01,year,,preprint
10.2139/ssrn.5102141,10.2139/ssrn.5102141,Enhanced Solar Energy Utilization Via an Inverted Perovskite/Homojunction Sns Tandem Solar Cell and Thermally Regenerative Electrochemical System,SSRN Electronic Journal,2025-01-01,year,,preprint
10.2139/ssrn.5106240,10.2139/ssrn.5106240,Regulation of the Low-Temperature Processed Tio2 Buried Interface to Enhance the Efficiency of Cspbi2br-Based All-Inorganic Perovskite Solar Cells,SSRN Electronic Journal,2025-01-01,year,,preprint
10.1007/s10854-025-14245-9,10.1007/s10854-025-14245-9,Self-powered ultraviolet photodetecting properties of ferroelectric Bi3.15Nd0.85Ti3O12 polycrystalline thin films,Journal of Materials Science Materials in Electronics,2025-01-01,year,,article
10.2139/ssrn.5109295,10.2139/ssrn.5109295,Multidentate Chelation Defect Passivation Via Hyperbranched Polysiloxane for Efficient and Stable Inverted Perovskite Solar Cells,SSRN Electronic Journal,2025-01-01,year,,preprint
10.2139/ssrn.5109445,10.2139/ssrn.5109445,Performance Analysis of Eco-Friendly Antisolvent-Enabled Cspbbr3 Perovskite Solar Cells,SSRN Electronic Journal,2025-01-01,year,,preprint
10.2139/ssrn.5108222,10.2139/ssrn.5108222,Reduced Graphene Oxide Doped Mapbi3 for High-Efficiency Perovskite Solar Cells,SSRN Electronic Journal,2025-01-01,year,,preprint
10.2139/ssrn.5113069,10.2139/ssrn.5113069,"Performance Assessment of a System Integrating a Perovskite/Cu2znsn(S,Se)4 Tandem Solar Cell and an Elastocaloric Cooler for Power and Cooling Cogeneration",SSRN Electronic Journal,2025-01-01,year,,preprint
10.2139/ssrn.5112960,10.2139/ssrn.5112960,Elucidating the Effect of Defect Density in the Degradation of Methylammonium Lead Iodide and Triple Cation-Based Perovskite Solar Cells,SSRN Electronic Journal,2025-01-01,year,,preprint
10.2139/ssrn.5112961,10.2139/ssrn.5112961,Synergistic Enhancement of Efficiency and Durability for Next-Generation All-Perovskite Tandem Solar Cells: A Fluorinated Polymer Doping Methodology,SSRN Electronic Journal,2025-01-01,year,,preprint
10.2139/ssrn.5115744,10.2139/ssrn.5115744,Ordered Charge Transport in Supramolecular Assemblies for Enhancing the Performance of Perovskite Solar Cells,SSRN Electronic Journal,2025-01-01,year,,preprint
10.2139/ssrn.5119588,10.2139/ssrn.5119588,Bag-Pressed Plasticine Carbon Electrodes for Perovskite Solar Cells and Modules,SSRN Electronic Journal,2025-01-01,year,,preprint
10.2139/ssrn.5056307,10.2139/ssrn.5056307,Using the cuckoo algorithm to improve perovskite solar cell performance,SSRN Electronic Journal,2025-01-01,year,,preprint
10.2139/ssrn.5056309,10.2139/ssrn.5056309,Combining poly(fluorine-co-benzotriazole) (PFN) with (gold-Au) in the ETL layer in Perovskite Solar cells to increase electron conductivity and reduce electron loss at the boundary between layers,SSRN Electronic Journal,2025-01-01,year,,preprint
10.2139/ssrn.5124775,10.2139/ssrn.5124775,The Ultrathin Nio Hole-Transporter for Enhanced Photovoltaic Efficiency of Cs0.09fa0.91pbi3-Based Large Area Perovskite Solar Cell Via Synergism of Hole Induction and Extraction,SSRN Electronic Journal,2025-01-01,year,,preprint
10.2139/ssrn.5106879,10.2139/ssrn.5106879,Study on Photovoltaic Performance of Three-Dimensional Perovskite Solar Cells with Excellent Application Scenarios: Based on SCAPS-1D Simulation and DFT Calculation Theory,SSRN Electronic Journal,2025-01-01,year,,preprint
10.2139/ssrn.5125143,10.2139/ssrn.5125143,Non-2d Passivated Methodology of Ethyl Ammonium Bromide for Efficient and Stable Perovskite Solar Cells,SSRN Electronic Journal,2025-01-01,year,,preprint
10.2139/ssrn.5123182,10.2139/ssrn.5123182,Versatile Grain Boundary Trimming Strategy for Fabricating High-Performance Wide-Bandgap Perovskite Solar Cells,SSRN Electronic Journal,2025-01-01,year,,preprint
10.2139/ssrn.5129268,10.2139/ssrn.5129268,Theoretical Investigation of the Electronic Property Trends of Antiperovskites with A-Site Tetrahedral Cluster Anion,SSRN Electronic Journal,2025-01-01,year,,preprint
10.1360/tb-2024-1310,10.1360/tb-2024-1310,离子液体介导的钙钛矿光伏电池,Chinese Science Bulletin (Chinese Version),2025-01-01,year,,article
10.2139/ssrn.5133976,10.2139/ssrn.5133976,"Crystal Structure and Optical Properties Characterization in Quasi-0d Lead-Free Organic-Inorganic Hybrid Crystals (C6h16n)2mx4 (M = Zn, Mn; X = Br, Cl)",SSRN Electronic Journal,2025-01-01,year,,preprint
10.2139/ssrn.5133411,10.2139/ssrn.5133411,Blue Light Excitation at Room Temperature in Lead-Free Perovskite Cs2Ag1-xNaxIn1-yBiyCl6 for Optoelectronic Devices Through Enhanced Synergistic Energy Transfer with Yb-Doping,SSRN Electronic Journal,2025-01-01,year,,preprint
10.1039/d5se00078e,10.1039/d5se00078e,An unsymmetrical bifluorenylidene–fluorene based hole-transporting material for perovskite solar cells,Sustainable Energy & Fuels,2025-01-01,year,,article
10.2139/ssrn.5131101,10.2139/ssrn.5131101,Slot-Die Coating of Self-Assembled Monolayers: A Scalable Approach for Perovskite Solar Cells,SSRN Electronic Journal,2025-01-01,year,,preprint
10.2139/ssrn.5137206,10.2139/ssrn.5137206,Exploring Phase Transition Effects on Current Voltage Hysteresis in Novel Cusni3,SSRN Electronic Journal,2025-01-01,year,,preprint
10.2139/ssrn.5138526,10.2139/ssrn.5138526,"Oxygen Annealing-Tailored Bife0.92mn0.04mg0.04o3 Thin Films: Coordinated Enhancement of Ferroelectric, Photovoltaic, and Anti-Aging Performance",SSRN Electronic Journal,2025-01-01,year,,preprint
10.2139/ssrn.5138992,10.2139/ssrn.5138992,Synergistic Effect of Dmai Degradation Inhibition and Perfluorinated Passivation for High Performance Inorganic Perovskite Photovoltaics,SSRN Electronic Journal,2025-01-01,year,,preprint
10.2139/ssrn.5141902,10.2139/ssrn.5141902,Techno-Economic Analysis Framework for Perovskite Solar Module Production at Various Manufacturing Capacities,SSRN Electronic Journal,2025-01-01,year,,preprint
10.2139/ssrn.5142097,10.2139/ssrn.5142097,Interface Modification by Sulfonamide for High-Efficiency and Stable Perovskite Solar Cells,SSRN Electronic Journal,2025-01-01,year,,preprint
10.2139/ssrn.5141426,10.2139/ssrn.5141426,Growth and Characterization of Orthorhombic Cesium Lead Tri-Iodide Perovskite Thin-Films by Sequential Physical Vapor Deposition for Solar Cells,SSRN Electronic Journal,2025-01-01,year,,preprint
10.54227/elab.20250001,10.54227/elab.20250001,"Interfaces in Monolithic Perovskite/ Organic Hybrid Solar Cells: Progresses, Prospects and Challenges",Energy Lab,2025-01-01,year,,article
10.2139/ssrn.5146251,10.2139/ssrn.5146251,Lead-Free Heterojunction Dual Layer Cs-Doped and Pure Fasni₃-Based Perovskite Solar Cells–A Performance Analysis Using Scaps-1d Simulator,SSRN Electronic Journal,2025-01-01,year,,preprint
10.2139/ssrn.5148451,10.2139/ssrn.5148451,Tin-Chloride Perovskite Integration for Stabilized and Efficient Perovskite Solar Cells,SSRN Electronic Journal,2025-01-01,year,,preprint
10.2139/ssrn.5148053,10.2139/ssrn.5148053,"Lignin Carbon Dot/Nanocellulose Films for Enhanced Uv Stability and Efficiency in Perovskite Solar Cells Through Selective Light Transmission, Blocking, and Conversion",SSRN Electronic Journal,2025-01-01,year,,preprint
