work_key,doi,title,venue,publication_date,date_precision,source_month,type
10.1039/d5nj01823d,10.1039/d5nj01823d,"Innovative computational framework for Sr 3 SbCl 3 absorber optimization: DFT, SCAPS-1D, and machine learning perspectives",New Journal of Chemistry,2025-01-01,year,,article
10.34133/energymatadv.0197,10.34133/energymatadv.0197,Enhanced Performance of Perovskite Solar Cells via Multifunctional Carbon Quantum Dot Modification,Energy Material Advances,2025-01-01,year,,article
10.1039/d5ee01722j,10.1039/d5ee01722j,Over one-micron-thick void-free perovskite layers enable highly efficient and fully printed solar cells,Energy & Environmental Science,2025-01-01,year,,article
10.1039/d5ee03823e,10.1039/d5ee03823e,Soft conjugation extension strategy of self-assembled molecules for achieving efficient and mechanically stable flexible perovskite solar cells,Energy & Environmental Science,2025-01-01,year,,article
10.1039/d5ra04940g,10.1039/d5ra04940g,Enhancing perovskite solar cell performance using a BaSnS 3 chalcogenide perovskite: a device simulation study,RSC Advances,2025-01-01,year,,article
10.1039/d4ta08688k,10.1039/d4ta08688k,Advancements in perovskite solar cell concentrators and future prospects,Journal of Materials Chemistry A,2025-01-01,year,,article
10.1039/d5ee03136b,10.1039/d5ee03136b,"Deciphering halide ion migration and performance loss in wide-bandgap perovskite solar cells: connection, mechanism, and solutions",Energy & Environmental Science,2025-01-01,year,,article
10.1021/acsaem.4c02474,10.1021/acsaem.4c02474,The Impact of MAPbI 3 Quantum Dots on CsFA Perovskite Solar Cells: Interface and Hole Extraction Improvement,ACS Applied Energy Materials,2025-01-01,year,,article
10.1039/d4ra08299k,10.1039/d4ra08299k,Optimization & enhancement of KGeCl 3 -based perovskite solar cells through charge transport layer engineering,RSC Advances,2025-01-01,year,,article
10.1039/d4ta08566c,10.1039/d4ta08566c,Defect mitigation via fullerene-based functional additives for enhanced efficiency and stability in tin perovskite solar cells,Journal of Materials Chemistry A,2025-01-01,year,,article
10.1039/d5ee02462e,10.1039/d5ee02462e,Exposing binding-favourable facets of perovskites for tandem solar cells,Energy & Environmental Science,2025-01-01,year,,article
10.1155/er/1804390,10.1155/er/1804390,Unraveling a Novel CsSnI 3 and CsSnGeI 3 Double Absorber Perovskite Solar Cell,International Journal of Energy Research,2025-01-01,year,,article
10.1039/d5cs00474h,10.1039/d5cs00474h,Molecular-level understandings and device strategies for FAPbI 3 -based perovskite solar cells,Chemical Society Reviews,2025-01-01,year,,article
10.1039/d5ee00736d,10.1039/d5ee00736d,Ligand engineering of solution-processed NiO x for high-performance n–i–p perovskite photovoltaics,Energy & Environmental Science,2025-01-01,year,,article
10.1039/d5mh00573f,10.1039/d5mh00573f,From optoelectronics to scintillation applications: the versatility of lead-free halide double perovskites,Materials Horizons,2025-01-01,year,,article
10.1039/d4ee05968a,10.1039/d4ee05968a,Eliminating high-dimensional defects by upward unidirectional crystallization for efficient and stable inverted perovskite solar cells,Energy & Environmental Science,2025-01-01,year,,article
10.1039/d5ee00458f,10.1039/d5ee00458f,Sustainable protection of natural liquid enables ultra-stable inverted perovskite solar cells via allylic disulfide rearrangement,Energy & Environmental Science,2025-01-01,year,,article
10.1039/d5ee02650d,10.1039/d5ee02650d,Tailored self-assembled monolayer molecules for perovskite/PERC tandem solar cells with efficiencies over 30%,Energy & Environmental Science,2025-01-01,year,,article
10.1039/d5ya00137d,10.1039/d5ya00137d,Next-generation dual absorber solar cell design with Ca 3 AsI 3 and Sr 3 PBr 3 perovskites and MoO 3 HTL achieves superior efficiency above 29%,Energy Advances,2025-01-01,year,,article
10.1016/j.rechem.2025.102025,10.1016/j.rechem.2025.102025,Theoretical study of the Sb-substitution effect on the optoelectronic properties of Cs2AgBiBr6 double perovskite,Results in Chemistry,2025-01-01,year,,article
10.1039/d4el00012a,10.1039/d4el00012a,Incorporating thermal co-evaporation in current-matched all-perovskite triple-junction solar cells,EES solar.,2025-01-01,year,,article
10.1039/d4sc08145e,10.1039/d4sc08145e,Mechanistic insights and optimization strategies for perovskite single-crystal thin film growth,Chemical Science,2025-01-01,year,,article
10.1039/d5el00034c,10.1039/d5el00034c,A hydrophobic organic spacer cation for improving moisture resistance and efficiency in mixed-dimensional perovskite solar cells,EES solar.,2025-01-01,year,,article
10.1039/d5ta01594d,10.1039/d5ta01594d,Dual-site synergistic passivation for CsPbBr 3 perovskite solar cells with record 1.707 V V oc and 11.23% efficiency,Journal of Materials Chemistry A,2025-01-01,year,,article
10.1039/d5el00065c,10.1039/d5el00065c,"Recent progress in Pb-, Sn-, and Pb–Sn-based inorganic perovskite solar cells: toward enhanced stability and efficiency",EES solar.,2025-01-01,year,,article
10.1039/d5ee01101a,10.1039/d5ee01101a,Double amidino-mediated multiple hydrogen-bonded Dion–Jacobson perovskites enable oriented crystallization for efficient inverted FAPbI 3 solar cells and modules (642 cm 2 ),Energy & Environmental Science,2025-01-01,year,,article
10.1039/d5ee04570c,10.1039/d5ee04570c,Bimolecular amine vapor passivation for efficient perovskite solar cells based on blade-coated FAPbI 3,Energy & Environmental Science,2025-01-01,year,,article
10.1039/d5ra05441a,10.1039/d5ra05441a,Computational modeling and photovoltaic performance evaluation of various ETL/HTL engineered CsCdI 3 -based perovskite solar cell architectures,RSC Advances,2025-01-01,year,,article
